project_id,project_name,start_date,end_date,project_manager,team_members,status,budget,expenditure,client
P0138,Blockchain Integration,5/23/2023 0:00,4/5/2023 0:00,Charlie,David,pending,532976.7075,482370.952,Client C
P0157,Data Warehouse,11/9/2023 0:00,10/27/2024 0:00,Alice,"Bob, Eve, David",pending,611126,482370.952,Client D
P0164,App Development,11/13/2023 0:00,3/14/2022 0:00,Frank,Frank,pending,732929,482370.952,Client C
P0177,App Development,2/11/2023 0:00,5/12/2024 0:00,Bob,"Alice, Eve, Charlie",Active,151081,482370.952,Client A
P0181,IoT Automation,7/29/2024 0:00,2/4/2023 0:00,Eve,Bob,Completed,270651,482370.952,Client B
P0192,AI Software,6/10/2024 0:00,5/16/2024 0:00,Frank,"Charlie, Alice",Completed,816212,482370.952,Client E
P0193,App Development,2/19/2023 0:00,6/28/2024 0:00,Eve,Charlie,Active,617316,482370.952,Client E
P0194,Data Warehouse,10/26/2022 0:00,9/18/2023 0:00,Bob,David,Completed,566266,482370.952,Client B
P0199,Data Warehouse,10/1/2023 0:00,5/26/2024 0:00,Frank,"Alice, Charlie, David",Completed,932923,482370.952,Client C
P0208,AI Software,2/24/2022 0:00,12/19/2022 0:00,David,"Charlie, Frank, Bob",Active,796990,482370.952,Client B
P0223,IoT Automation,3/15/2024 0:00,10/8/2024 0:00,Charlie,"Bob, Eve",Active,489921,482370.952,Client A
P0229,IoT Automation,3/3/2024 0:00,8/17/2023 0:00,Bob,Charlie,pending,355512,482370.952,Client A
P0235,Blockchain Integration,8/5/2022 0:00,11/26/2023 0:00,Frank,Eve,pending,942918,482370.952,Client D
P0237,AI Software,5/20/2023 0:00,6/3/2024 0:00,Bob,Bob,pending,999516,482370.952,Client C
P0240,App Development,6/18/2022 0:00,4/16/2023 0:00,David,"Frank, Charlie",Completed,176116,482370.952,Client B
P0243,App Development,4/30/2023 0:00,11/30/2022 0:00,Charlie,Charlie,pending,479293,482370.952,Client E
P0247,IoT Automation,5/7/2022 0:00,8/14/2024 0:00,David,"Charlie, Bob",Completed,918551,482370.952,Client A
P0249,AI Software,1/27/2023 0:00,9/25/2023 0:00,Bob,Bob,Cancelled,491834,482370.952,Client E
P0254,AI Software,5/7/2024 0:00,3/11/2024 0:00,Alice,"Eve, Frank",Completed,526279,482370.952,Client C
P0263,IoT Automation,10/13/2022 0:00,6/5/2022 0:00,Bob,Charlie,Active,141889,482370.952,Client E
P0275,Data Warehouse,9/15/2022 0:00,2/3/2024 0:00,Frank,"Charlie, Eve",Cancelled,243935,482370.952,Client E
P0276,Cloud Migration,8/10/2022 0:00,4/8/2023 0:00,David,David,Cancelled,195407,482370.952,Client E
P0284,AI Software,6/28/2023 0:00,6/11/2024 0:00,Eve,"Alice, Eve, Frank",pending,693509,482370.952,Client B
P0287,IoT Automation,4/5/2024 0:00,12/15/2022 0:00,Frank,"Charlie, Eve",pending,531530,482370.952,Client C
P0292,Blockchain Integration,7/27/2023 0:00,8/27/2024 0:00,David,"Charlie, Frank, David",Cancelled,821768,482370.952,Client B
P0297,Blockchain Integration,9/25/2023 0:00,1/18/2023 0:00,David,Bob,pending,281839,482370.952,Client B
P0313,Cloud Migration,10/6/2023 0:00,10/10/2022 0:00,David,"Frank, Eve, Charlie",Completed,576851,482370.952,Client A
P0319,Cloud Migration,5/11/2023 0:00,4/15/2024 0:00,Bob,David,Completed,724187,482370.952,Client D
P0358,Blockchain Integration,10/20/2022 0:00,10/5/2023 0:00,Charlie,"Frank, Eve, Charlie",Cancelled,528379,482370.952,Client E
P0360,AI Software,11/12/2023 0:00,2/28/2023 0:00,Eve,"Charlie, Alice",Completed,503151,482370.952,Client D
P0374,Data Warehouse,6/28/2023 0:00,8/13/2023 0:00,Frank,David,pending,470425,482370.952,Client C
P0381,Cloud Migration,2/1/2024 0:00,11/30/2023 0:00,David,"Alice, Frank",Cancelled,938966,482370.952,Client E
P0389,AI Software,4/29/2023 0:00,9/7/2023 0:00,Alice,"Frank, David",Active,372482,482370.952,Client B
P0393,AI Software,12/30/2023 0:00,6/15/2023 0:00,Eve,"Eve, Charlie",pending,305219,482370.952,Client C
P0404,Data Warehouse,8/17/2024 0:00,4/22/2022 0:00,Bob,"Frank, David",pending,295056,482370.952,Client A
P0412,App Development,1/12/2023 0:00,7/28/2022 0:00,Eve,Eve,Active,543824,482370.952,Client C
P0419,Blockchain Integration,8/8/2023 0:00,6/17/2022 0:00,Frank,"Alice, Eve",Completed,916902,482370.952,Client D
P0427,Data Warehouse,12/10/2022 0:00,9/20/2022 0:00,Charlie,"Charlie, Frank",pending,159611,482370.952,Client A
P0430,IoT Automation,5/3/2023 0:00,6/18/2024 0:00,Alice,Alice,Active,238717,482370.952,Client D
P0434,IoT Automation,4/12/2023 0:00,6/5/2022 0:00,Charlie,Charlie,pending,283652,482370.952,Client D
P0468,Cloud Migration,11/9/2023 0:00,9/23/2022 0:00,Bob,"Bob, Eve",Completed,560352,482370.952,Client C
P0470,AI Software,1/1/2023 0:00,7/1/2022 0:00,Frank,Frank,Active,587802,482370.952,Client B
P0481,App Development,6/4/2024 0:00,8/3/2022 0:00,Alice,Alice,Active,600284,482370.952,Client E
P0482,Cloud Migration,8/17/2024 0:00,10/19/2024 0:00,Eve,"Bob, David, Alice",Cancelled,532976.7075,482370.952,Client A
P0484,IoT Automation,8/18/2022 0:00,10/15/2022 0:00,Frank,Frank,Active,469604,482370.952,Client A
P0497,Blockchain Integration,12/8/2023 0:00,8/23/2023 0:00,Eve,"David, Bob, Alice",Cancelled,714068,482370.952,Client B
P0504,Cloud Migration,9/13/2024 0:00,10/12/2023 0:00,David,"David, Bob, Eve",Completed,496283,482370.952,Client C
P0541,App Development,8/1/2024 0:00,4/7/2022 0:00,Charlie,Charlie,Cancelled,859459,482370.952,Client E
P0544,Cloud Migration,7/1/2022 0:00,12/30/2023 0:00,Charlie,Charlie,Completed,370157,482370.952,Client B
P0553,App Development,12/23/2023 0:00,5/24/2024 0:00,Eve,"Alice, David, Charlie",Active,354273,482370.952,Client C
P0554,IoT Automation,12/12/2023 0:00,8/19/2024 0:00,Alice,"David, Frank",Cancelled,604547,482370.952,Client D
P0561,Cloud Migration,7/24/2023 0:00,7/9/2022 0:00,David,Frank,Cancelled,488371,482370.952,Client C
P0570,Data Warehouse,8/2/2023 0:00,8/8/2024 0:00,Charlie,Charlie,Completed,994643,482370.952,Client C
P0574,Cloud Migration,2/23/2022 0:00,9/1/2022 0:00,Alice,"Charlie, Frank, Bob",Completed,549359,482370.952,Client C
P0579,App Development,9/1/2023 0:00,11/20/2023 0:00,Frank,"David, Frank, Bob",pending,532976.7075,482370.952,Client B
P0580,Blockchain Integration,10/14/2023 0:00,3/27/2023 0:00,Charlie,Eve,Active,239967,482370.952,Client E
P0583,IoT Automation,9/14/2022 0:00,5/22/2024 0:00,Alice,Alice,pending,833986,482370.952,Client D
P0584,Cloud Migration,11/25/2022 0:00,3/24/2022 0:00,Bob,"Bob, Alice, David",Completed,699782,482370.952,Client B
P0611,IoT Automation,8/31/2022 0:00,4/3/2024 0:00,Alice,"David, Frank",Cancelled,988272,482370.952,Client B
P0616,IoT Automation,10/11/2023 0:00,8/4/2024 0:00,Bob,"Bob, David",Cancelled,532976.7075,482370.952,Client C
P0619,AI Software,12/25/2022 0:00,11/1/2022 0:00,Charlie,Alice,pending,857878,482370.952,Client A
P0623,Blockchain Integration,9/24/2024 0:00,11/29/2022 0:00,Alice,"Alice, Bob, Charlie",pending,556481,482370.952,Client E
P0631,AI Software,6/22/2024 0:00,11/3/2022 0:00,Bob,Bob,pending,151288,482370.952,Client D
P0633,Cloud Migration,8/19/2022 0:00,3/21/2024 0:00,Charlie,Charlie,pending,364431,482370.952,Client B
P0644,IoT Automation,6/17/2024 0:00,8/28/2024 0:00,Bob,David,Cancelled,362773,482370.952,Client E
P0662,App Development,4/6/2023 0:00,7/13/2022 0:00,Eve,Frank,Completed,719171,482370.952,Client B
P0671,App Development,3/16/2022 0:00,6/9/2023 0:00,Charlie,David,Cancelled,527123,482370.952,Client C
P0681,App Development,8/1/2022 0:00,4/27/2024 0:00,Charlie,David,pending,707716,482370.952,Client C
P0692,Data Warehouse,7/21/2022 0:00,9/11/2022 0:00,Eve,"David, Charlie",pending,771109,482370.952,Client B
P0695,AI Software,2/2/2023 0:00,4/3/2023 0:00,Charlie,David,Completed,708358,482370.952,Client E
P0699,Cloud Migration,12/9/2023 0:00,9/7/2022 0:00,Charlie,"David, Frank, Bob",Completed,507923,482370.952,Client E
P0700,IoT Automation,9/9/2023 0:00,5/21/2023 0:00,Eve,Charlie,pending,444548,482370.952,Client D
P0704,AI Software,5/1/2023 0:00,10/12/2024 0:00,Charlie,"Frank, David, Eve",Completed,603174,482370.952,Client D
P0739,Data Warehouse,12/14/2023 0:00,4/30/2024 0:00,Eve,Frank,Cancelled,823024,482370.952,Client B
P0750,Cloud Migration,4/18/2022 0:00,8/19/2024 0:00,David,"Frank, Alice, Eve",pending,880823,482370.952,Client C
P0757,Cloud Migration,4/5/2023 0:00,6/13/2023 0:00,Charlie,"Frank, David, Eve",Cancelled,103902,482370.952,Client A
P0764,Data Warehouse,7/17/2024 0:00,8/18/2022 0:00,,,Active,723534,482370.952,Client E
P0765,Blockchain Integration,5/25/2023 0:00,11/21/2022 0:00,David,"David, Charlie",Active,903340,482370.952,Client A
P0766,Cloud Migration,1/3/2023 0:00,1/31/2023 0:00,Alice,"Bob, Eve, Frank",Active,242365,482370.952,Client A
P0767,Data Warehouse,5/1/2024 0:00,5/18/2022 0:00,Alice,Eve,Active,680476,482370.952,Client E
P0770,Data Warehouse,3/6/2023 0:00,12/27/2022 0:00,Charlie,"Bob, Alice",Cancelled,134057,482370.952,Client C
P0775,AI Software,10/14/2022 0:00,11/2/2023 0:00,Charlie,David,Cancelled,532976.7075,482370.952,Client E
P0777,App Development,2/9/2023 0:00,1/19/2024 0:00,Eve,"David, Charlie, Frank",Cancelled,955316,482370.952,Client A
P0787,Blockchain Integration,9/4/2024 0:00,8/13/2022 0:00,Alice,"Frank, Bob",Active,650454,482370.952,Client B
P0789,App Development,8/23/2022 0:00,6/29/2024 0:00,Eve,Alice,pending,218881,482370.952,Client C
P0790,Blockchain Integration,3/10/2023 0:00,1/18/2023 0:00,David,"Frank, Charlie, David",pending,532976.7075,482370.952,Client A
P0797,Blockchain Integration,1/27/2023 0:00,4/6/2024 0:00,Eve,Eve,pending,667600,482370.952,Client C
P0798,Cloud Migration,1/5/2023 0:00,2/5/2023 0:00,Bob,"Eve, Bob, Alice",Cancelled,183532,482370.952,Client B
P0800,Data Warehouse,5/30/2023 0:00,11/18/2023 0:00,David,David,Completed,824023,482370.952,Client D
P0803,App Development,4/11/2023 0:00,4/28/2023 0:00,Bob,Bob,Cancelled,888845,482370.952,Client E
P0813,Data Warehouse,12/21/2023 0:00,9/16/2023 0:00,Bob,"Alice, Bob, Charlie",Active,478670,482370.952,Client D
P0836,IoT Automation,9/3/2022 0:00,10/2/2022 0:00,Eve,Eve,Cancelled,706424,482370.952,Client B
P0838,AI Software,5/12/2023 0:00,7/7/2023 0:00,Charlie,Bob,Completed,230703,482370.952,Client E
P0853,Blockchain Integration,9/23/2023 0:00,8/6/2024 0:00,Eve,"Eve, Bob",Completed,218083,482370.952,Client C
P0858,App Development,5/18/2022 0:00,3/20/2023 0:00,David,Frank,pending,251397,482370.952,Client B
P0875,IoT Automation,12/10/2023 0:00,1/12/2023 0:00,David,"Eve, Alice, David",Completed,403114,482370.952,Client D
P0884,Data Warehouse,3/14/2024 0:00,8/8/2024 0:00,Eve,"Alice, Bob",pending,389003,482370.952,Client C
P0886,Data Warehouse,10/25/2023 0:00,12/3/2022 0:00,Alice,"Charlie, David",Completed,603683,482370.952,Client D
P0905,IoT Automation,1/24/2024 0:00,7/3/2023 0:00,David,"Bob, David",Cancelled,653991,482370.952,Client C
P0932,Data Warehouse,6/11/2024 0:00,8/26/2022 0:00,Frank,"Frank, David",Cancelled,532976.7075,482370.952,Client B
P0940,App Development,10/12/2023 0:00,9/14/2022 0:00,Eve,Eve,Active,774254,482370.952,Client D
P0948,IoT Automation,9/9/2024 0:00,1/3/2024 0:00,Alice,"Frank, Charlie",Cancelled,599135,482370.952,Client C
P0950,App Development,9/11/2024 0:00,6/1/2023 0:00,David,David,pending,894114,482370.952,Client C
P0961,IoT Automation,5/12/2023 0:00,5/21/2022 0:00,Alice,"David, Charlie, Bob",Active,757673,482370.952,Client A
P0968,Data Warehouse,9/14/2023 0:00,3/18/2024 0:00,David,Charlie,Active,164251,482370.952,Client E
P0971,IoT Automation,6/11/2022 0:00,1/31/2023 0:00,Bob,"Bob, David",Cancelled,859233,482370.952,Client E
P0972,Cloud Migration,12/19/2023 0:00,8/6/2022 0:00,Frank,"Alice, Eve",Completed,757594,482370.952,Client E
P0973,AI Software,2/21/2023 0:00,8/7/2023 0:00,Frank,Eve,pending,898063,482370.952,Client D
P0983,Data Warehouse,6/22/2023 0:00,2/25/2023 0:00,David,Eve,pending,176769,482370.952,Client D
P0985,AI Software,10/3/2024 0:00,4/22/2024 0:00,Frank,Eve,Completed,833675,482370.952,Client A
P0986,AI Software,10/9/2023 0:00,8/10/2023 0:00,Frank,"David, Bob, Alice",Active,379068,482370.952,Client E
P0996,App Development,5/11/2022 0:00,7/24/2022 0:00,Charlie,"Bob, David, Frank",Completed,566695,482370.952,Client E
P1003,App Development,12/19/2022 0:00,11/12/2022 0:00,Eve,"Charlie, Bob, Alice",pending,709644,482370.952,Client C
P1012,App Development,6/17/2023 0:00,1/1/2023 0:00,Charlie,Charlie,pending,665209,482370.952,Client D
P1022,IoT Automation,7/2/2022 0:00,12/12/2022 0:00,Eve,Alice,pending,548497,482370.952,Client C
P1028,Blockchain Integration,11/3/2022 0:00,3/7/2023 0:00,Frank,Alice,pending,532976.7075,482370.952,Client D
P1040,AI Software,5/26/2023 0:00,2/19/2023 0:00,Eve,"Bob, Charlie",Active,894357,482370.952,Client B
P1041,Blockchain Integration,8/19/2022 0:00,12/17/2022 0:00,Charlie,Charlie,Active,767984,482370.952,Client B
P1045,IoT Automation,5/11/2022 0:00,6/23/2023 0:00,Frank,Bob,pending,665215,482370.952,Client B
P1053,IoT Automation,3/22/2024 0:00,7/6/2022 0:00,,,Cancelled,267011,482370.952,Client B
P1058,Blockchain Integration,5/1/2023 0:00,9/7/2022 0:00,Bob,Charlie,Cancelled,905292,482370.952,Client A
P1064,AI Software,4/24/2023 0:00,10/17/2024 0:00,Alice,Alice,Cancelled,590012,482370.952,Client D
P1075,Data Warehouse,11/11/2022 0:00,2/24/2022 0:00,Frank,Charlie,Active,437264,482370.952,Client E
P1079,App Development,4/7/2024 0:00,9/12/2022 0:00,Frank,"Alice, Frank",pending,143907,482370.952,Client A
P1083,AI Software,12/20/2023 0:00,10/8/2022 0:00,Charlie,"Frank, David, Alice",pending,997607,482370.952,Client E
P1097,AI Software,3/27/2023 0:00,4/5/2022 0:00,Frank,Frank,Cancelled,371226,482370.952,Client E
P1108,Blockchain Integration,9/28/2023 0:00,9/6/2022 0:00,Frank,Eve,Cancelled,647066,482370.952,Client D
P1109,App Development,4/17/2022 0:00,9/21/2023 0:00,Charlie,"Bob, Frank",Active,802016,482370.952,Client C
P1112,Cloud Migration,11/2/2023 0:00,4/15/2024 0:00,Alice,"Alice, David, Eve",Completed,532976.7075,482370.952,Client A
P1121,Blockchain Integration,11/1/2023 0:00,2/22/2023 0:00,Charlie,"Eve, Alice, David",Cancelled,471904,482370.952,Client D
P1125,Cloud Migration,2/1/2024 0:00,10/21/2023 0:00,Charlie,Charlie,Cancelled,808576,482370.952,Client D
P1128,Cloud Migration,3/15/2024 0:00,9/23/2022 0:00,David,Eve,pending,864670,482370.952,Client E
P1132,AI Software,1/17/2024 0:00,5/6/2024 0:00,Bob,Bob,Completed,404716,482370.952,Client E
P1153,Blockchain Integration,8/24/2023 0:00,9/29/2023 0:00,Frank,Frank,Cancelled,248285,482370.952,Client D
P1165,Blockchain Integration,8/31/2023 0:00,8/23/2024 0:00,Alice,"Eve, Alice, Bob",Active,996336,482370.952,Client D
P1169,App Development,5/5/2022 0:00,5/23/2023 0:00,Eve,Eve,pending,898337,482370.952,Client A
P1187,Cloud Migration,9/25/2022 0:00,7/2/2022 0:00,David,"Bob, Charlie",Cancelled,963020,482370.952,Client A
P1188,Cloud Migration,10/11/2022 0:00,6/8/2024 0:00,Frank,"Frank, Alice",Cancelled,225515,482370.952,Client B
P1200,Data Warehouse,3/24/2022 0:00,7/10/2023 0:00,Charlie,Charlie,Completed,600534,482370.952,Client D
P1201,Cloud Migration,9/13/2024 0:00,11/20/2023 0:00,Alice,Alice,pending,127657,482370.952,Client B
P1206,Data Warehouse,4/13/2024 0:00,12/19/2023 0:00,Charlie,Charlie,Active,630424,482370.952,Client B
P1216,Cloud Migration,3/19/2023 0:00,12/16/2023 0:00,Frank,"Eve, Alice",Completed,122286,482370.952,Client A
P1232,Data Warehouse,6/29/2023 0:00,10/13/2024 0:00,Alice,Alice,Completed,532976.7075,482370.952,Client D
P1238,IoT Automation,5/7/2024 0:00,10/31/2022 0:00,David,"Bob, Alice",Completed,677022,482370.952,Client B
P1255,Cloud Migration,2/3/2023 0:00,10/7/2024 0:00,David,Eve,Cancelled,776473,482370.952,Client A
P1259,Cloud Migration,9/1/2023 0:00,10/3/2024 0:00,Charlie,Charlie,pending,118931,482370.952,Client E
P1262,App Development,5/12/2023 0:00,6/5/2023 0:00,Bob,"Eve, David, Charlie",Cancelled,167989,482370.952,Client C
P1264,Cloud Migration,7/24/2024 0:00,2/24/2024 0:00,David,Bob,Cancelled,116539,482370.952,Client B
P1314,Cloud Migration,1/30/2023 0:00,7/7/2024 0:00,David,"Alice, Bob",Completed,693774,482370.952,Client D
P1321,Blockchain Integration,9/16/2022 0:00,6/5/2022 0:00,David,Eve,Active,198039,482370.952,Client D
P1333,Blockchain Integration,6/28/2022 0:00,10/26/2023 0:00,Frank,Frank,pending,984272,482370.952,Client D
P1341,IoT Automation,8/6/2022 0:00,6/6/2022 0:00,Bob,"Charlie, Alice",Active,601656,482370.952,Client B
P1346,Cloud Migration,10/31/2022 0:00,6/6/2023 0:00,David,"Charlie, Alice, David",pending,532976.7075,482370.952,Client A
P1358,IoT Automation,3/14/2023 0:00,11/6/2023 0:00,Frank,"Eve, Frank",Cancelled,735996,482370.952,Client B
P1365,AI Software,7/26/2023 0:00,8/20/2023 0:00,Eve,"David, Alice",pending,250625,482370.952,Client D
P1376,App Development,7/15/2022 0:00,9/1/2023 0:00,Charlie,Bob,Completed,120407,482370.952,Client C
P1378,IoT Automation,7/14/2023 0:00,11/6/2023 0:00,Frank,Charlie,pending,615998,482370.952,Client C
P1386,IoT Automation,7/5/2023 0:00,8/28/2023 0:00,Charlie,"Alice, Bob",Cancelled,375564,482370.952,Client A
P1400,Blockchain Integration,9/4/2024 0:00,11/4/2024 0:00,Eve,"David, Bob, Charlie",pending,349532,482370.952,Client D
P1418,Blockchain Integration,8/28/2022 0:00,3/6/2022 0:00,Alice,Alice,Cancelled,593248,482370.952,Client D
P1430,AI Software,9/30/2023 0:00,6/10/2023 0:00,Frank,"Bob, Charlie, Frank",pending,540263,482370.952,Client C
P1436,Data Warehouse,4/17/2023 0:00,7/21/2023 0:00,Bob,"David, Alice",Cancelled,342880,482370.952,Client A
P1450,Blockchain Integration,10/17/2024 0:00,7/4/2023 0:00,Alice,"Eve, Alice, Frank",Active,532976.7075,482370.952,Client D
P1452,AI Software,9/27/2024 0:00,3/15/2022 0:00,Bob,Bob,Active,524762,482370.952,Client A
P1455,IoT Automation,12/1/2022 0:00,5/15/2022 0:00,Eve,Eve,Active,532976.7075,482370.952,Client A
P1457,IoT Automation,4/12/2023 0:00,2/12/2024 0:00,Eve,"Eve, Frank",Cancelled,188450,482370.952,Client A
P1469,Blockchain Integration,3/6/2022 0:00,11/11/2024 0:00,Alice,"Charlie, David, Alice",Cancelled,176287,482370.952,Client A
P1473,IoT Automation,6/27/2024 0:00,6/21/2022 0:00,David,Charlie,Active,141350,482370.952,Client A
P1485,Cloud Migration,3/23/2024 0:00,11/12/2022 0:00,Charlie,"Bob, David",Completed,854124,482370.952,Client B
P1495,Blockchain Integration,9/1/2024 0:00,9/7/2022 0:00,Alice,Bob,Completed,580127,482370.952,Client E
P1497,AI Software,9/23/2022 0:00,4/18/2023 0:00,Eve,"Eve, David",pending,829054,482370.952,Client C
P1501,IoT Automation,2/24/2024 0:00,3/4/2024 0:00,Frank,"David, Frank, Charlie",pending,509464,482370.952,Client B
P1505,Data Warehouse,5/20/2022 0:00,4/26/2023 0:00,Frank,"Frank, David",Cancelled,498928,482370.952,Client C
P1537,Blockchain Integration,9/29/2022 0:00,8/30/2024 0:00,Frank,"David, Bob, Eve",pending,470168,482370.952,Client E
P1543,Data Warehouse,3/31/2023 0:00,6/2/2023 0:00,Charlie,Frank,Cancelled,970641,482370.952,Client A
P1565,App Development,6/4/2022 0:00,11/30/2023 0:00,Eve,"Eve, Alice",Completed,685823,482370.952,Client A
P1571,App Development,7/18/2022 0:00,10/5/2022 0:00,Bob,Bob,Completed,753451,482370.952,Client B
P1575,AI Software,3/25/2023 0:00,3/26/2022 0:00,Charlie,"Charlie, Alice, Eve",Active,604592,482370.952,Client A
P1576,AI Software,8/25/2023 0:00,1/18/2024 0:00,Alice,Alice,Cancelled,272820,482370.952,Client D
P1582,Cloud Migration,2/15/2024 0:00,8/30/2023 0:00,Charlie,"Frank, Eve",Completed,513695,482370.952,Client E
P1590,AI Software,6/6/2022 0:00,2/15/2024 0:00,David,"Charlie, Frank, Bob",pending,650004,482370.952,Client D
P1602,Data Warehouse,2/11/2023 0:00,5/13/2024 0:00,Alice,David,Active,227940,482370.952,Client A
P1611,IoT Automation,12/3/2022 0:00,9/1/2022 0:00,David,"Frank, Bob, Charlie",pending,270697,482370.952,Client A
P1614,Blockchain Integration,6/18/2023 0:00,6/23/2024 0:00,Charlie,"David, Alice, Charlie",pending,536294,482370.952,Client C
P1619,Data Warehouse,12/15/2023 0:00,8/6/2022 0:00,Alice,Alice,pending,393116,482370.952,Client C
P1623,IoT Automation,3/6/2022 0:00,2/25/2022 0:00,Bob,Bob,pending,801827,482370.952,Client E
P1626,Cloud Migration,6/22/2024 0:00,9/22/2022 0:00,Eve,Charlie,Cancelled,481377,482370.952,Client B
P1632,IoT Automation,11/8/2022 0:00,10/19/2022 0:00,Bob,"Alice, Frank",pending,951881,482370.952,Client B
P1633,Cloud Migration,2/10/2023 0:00,6/5/2023 0:00,Frank,"David, Frank",Completed,448436,482370.952,Client A
P1669,Blockchain Integration,5/20/2022 0:00,11/1/2022 0:00,Eve,"Eve, David, Bob",Completed,240221,482370.952,Client D
P1671,Data Warehouse,9/22/2022 0:00,4/28/2022 0:00,Eve,"Alice, Charlie",pending,736044,482370.952,Client C
P1684,App Development,11/18/2023 0:00,8/4/2022 0:00,Charlie,Charlie,Active,925148,482370.952,Client A
P1689,Data Warehouse,2/12/2024 0:00,7/29/2024 0:00,David,"David, Charlie, Eve",Cancelled,497315,482370.952,Client D
P1701,IoT Automation,1/2/2023 0:00,11/10/2023 0:00,David,"David, Eve, Frank",Cancelled,532976.7075,482370.952,Client C
P1711,Blockchain Integration,10/14/2022 0:00,11/25/2022 0:00,Alice,Alice,pending,868401,482370.952,Client A
P1716,Blockchain Integration,4/24/2022 0:00,3/28/2022 0:00,Eve,"Charlie, Alice, David",Cancelled,347940,482370.952,Client C
P1720,Data Warehouse,5/3/2023 0:00,5/6/2024 0:00,Charlie,David,pending,666402,482370.952,Client D
P1724,AI Software,8/5/2024 0:00,9/21/2023 0:00,Bob,"Alice, Bob, Eve",Active,585519,482370.952,Client A
P1743,Data Warehouse,10/4/2023 0:00,8/19/2023 0:00,Alice,"Frank, Alice",Cancelled,957211,482370.952,Client A
P1749,App Development,1/28/2023 0:00,4/6/2024 0:00,David,"David, Charlie",Active,482003,482370.952,Client A
P1768,AI Software,7/11/2022 0:00,8/3/2022 0:00,Frank,"Eve, Frank",pending,532976.7075,482370.952,Client D
P0001,IoT Automation,9/29/2024 0:00,8/29/2024 0:00,David,"Frank, Bob, Eve",Completed,372988,858847,Client D
P0003,AI Software,4/28/2024 0:00,10/18/2024 0:00,Eve,"Charlie, Frank",Cancelled,130217,451166,Client C
P0006,Blockchain Integration,1/27/2023 0:00,2/6/2023 0:00,Eve,Eve,Cancelled,293810,806726,Client A
P0009,IoT Automation,11/14/2022 0:00,9/2/2023 0:00,Bob,Alice,Cancelled,315569,604859,Client B
P0011,IoT Automation,10/16/2023 0:00,6/25/2022 0:00,Alice,"Eve, Bob",Active,413115,703235,Client A
P0014,AI Software,6/9/2022 0:00,5/12/2022 0:00,Charlie,Charlie,Completed,478471,502406,Client C
